#### Simulations (50)
# Process.x #1
0.0 0.0
0.0 0.0
1.0 0.0
1.0 0.0
1.0 5.1
1.0 5.1
2.0 5.1
2.0 5.1
2.0 10.2
3.0 10.2
3.0 10.2
3.0 15.3
3.0 15.3
4.0 15.3
4.0 15.3
4.0 20.4
5.0 20.4
5.0 20.4
5.0 25.5
5.0 25.5
6.0 25.5
6.0 25.5
6.0 30.6
6.0 30.6
7.0 30.6
7.0 30.6
7.0 35.7
7.0 35.7
8.0 35.7
8.0 35.7
8.0 40.8
8.0 40.8
9.0 40.8
9.0 40.8
9.0 45.9
10.0 45.9
10.0 45.9
10.0 51.0
10.0 51.0
11.0 51.0
11.0 51.0
11.0 56.1
11.0 56.1
12.0 56.1
12.0 56.1
12.0 61.2
13.0 61.2
13.0 61.2
13.0 66.3
14.0 66.3
14.0 66.3
14.0 71.4
14.0 71.4
15.0 71.4
15.0 71.4
15.0 76.5
15.0 76.5
16.0 76.5
16.0 81.6
16.0 81.6
17.0 81.6
17.0 86.7
17.0 86.7
18.0 86.7
18.0 86.7
18.0 91.8
19.0 91.8
19.0 91.8
19.0 96.9
19.0 96.9
20.0 96.9
20.0 96.9
20.0 102.0
21.0 102.0
21.0 102.0
21.0 107.1
21.0 107.1
22.0 107.1
22.0 107.1
22.0 112.2
22.0 112.2
23.0 112.2
23.0 112.2
23.0 117.3
23.0 117.3
24.0 117.3
24.0 117.3
24.0 122.4
25.0 122.4
25.0 122.4
25.0 127.5
25.0 127.5
26.0 127.5
26.0 127.5
26.0 132.6
26.0 132.6
27.0 132.6
27.0 132.6
27.0 137.7
28.0 137.7
28.0 137.7
28.0 142.8
28.0 142.8
29.0 142.8
29.0 142.8
29.0 147.9
30.0 147.9
30.0 147.9
30.0 153.0
30.0 153.0
60.1 153.0
# Process.x #2
0.0 0.0
0.0 0.0
1.0 0.0
1.0 5.1
1.0 5.1
2.0 5.1
2.0 5.1
2.0 10.2
2.0 10.2
3.0 10.2
3.0 10.2
3.0 15.3
4.0 15.3
4.0 15.3
4.0 20.4
4.0 20.4
5.0 20.4
5.0 20.4
5.0 25.5
5.0 25.5
6.0 25.5
6.0 25.5
6.0 30.6
7.0 30.6
7.0 30.6
7.0 35.7
7.0 35.7
8.0 35.7
8.0 35.7
8.0 40.8
8.0 40.8
9.0 40.8
9.0 40.8
9.0 45.9
9.0 45.9
10.0 45.9
10.0 45.9
10.0 51.0
