#### Simulations (3)
# Process.x #1
0.0 0.0
0.0 0.0
1.0 0.0
1.0 -1.0
2.0 -1.0
2.0 -2.0
3.0 -2.0
3.0 -3.0
4.0 -3.0
4.0 -4.0
5.0 -4.0
5.0 -5.0
6.0 -5.0
6.0 -6.0
7.0 -6.0
7.0 -7.0
8.0 -7.0
8.0 -8.0
9.0 -8.0
9.0 -9.0
10.0 -9.0
10.0 -10.0
10.9396 -10.0
# Process.x #2
0.0 0.0
0.0 0.0
1.0 0.0
1.0 -1.0
2.0 -1.0
2.0 -2.0
3.0 -2.0
3.0 -3.0
4.0 -3.0
4.0 -4.0
5.0 -4.0
5.0 -5.0
6.0 -5.0
6.0 -6.0
7.0 -6.0
7.0 -7.0
8.0 -7.0
8.0 -8.0
9.0 -8.0
9.0 -9.0
10.0 -9.0
10.0 -10.0
10.4453 -10.0
# Process.x #3
0.0 0.0
0.0 0.0
1.0 0.0
1.0 1.0
2.0 1.0
2.0 2.0
3.0 2.0
3.0 3.0
4.0 3.0
4.0 4.0
5.0 4.0
5.0 5.0
6.0 5.0
6.0 6.0
7.0 6.0
7.0 7.0
8.0 7.0
8.0 8.0
9.0 8.0
9.0 9.0
10.0 9.0
10.0 10.0
10.156 10.0
