#### Simulations (50)
# Process.x #1
0.0 0.0
0.0 0.0
1.0 0.0
1.0 -1.0
2.0 -1.0
2.0 -2.0
3.0 -2.0
3.0 -3.0
4.0 -3.0
4.0 -4.0
5.0 -4.0
5.0 -5.0
6.0 -5.0
6.0 -6.0
7.0 -6.0
7.0 -7.0
8.0 -7.0
8.0 -8.0
9.0 -8.0
9.0 -9.0
10.0 -9.0
10.0 -10.0
10.9462 -10.0
# Process.x #2
0.0 0.0
0.0 0.0
1.0 0.0
1.0 -1.0
2.0 -1.0
2.0 -2.0
3.0 -2.0
3.0 -3.0
4.0 -3.0
4.0 -4.0
5.0 -4.0
5.0 -5.0
6.0 -5.0
6.0 -6.0
7.0 -6.0
7.0 -7.0
8.0 -7.0
8.0 -8.0
9.0 -8.0
9.0 -9.0
10.0 -9.0
10.0 -10.0
10.8739 -10.0
# Process.x #3
0.0 0.0
0.0 0.0
1.0 0.0
1.0 -1.0
2.0 -1.0
2.0 -2.0
3.0 -2.0
3.0 -3.0
4.0 -3.0
4.0 -4.0
5.0 -4.0
5.0 -5.0
6.0 -5.0
6.0 -6.0
7.0 -6.0
7.0 -7.0
8.0 -7.0
8.0 -8.0
9.0 -8.0
9.0 -9.0
10.0 -9.0
10.0 -10.0
10.6562 -10.0
# Process.x #4
0.0 0.0
0.0 0.0
1.0 0.0
1.0 -1.0
2.0 -1.0
2.0 -2.0
3.0 -2.0
3.0 -3.0
4.0 -3.0
4.0 -4.0
5.0 -4.0
5.0 -5.0
6.0 -5.0
6.0 -6.0
7.0 -6.0
7.0 -7.0
8.0 -7.0
8.0 -8.0
9.0 -8.0
9.0 -9.0
10.0 -9.0
10.0 -10.0
10.2194 -10.0
# Process.x #5
0.0 0.0
0.0 0.0
1.0 0.0
1.0 -1.0
2.0 -1.0
2.0 -2.0
3.0 -2.0
3.0 -3.0
4.0 -3.0
4.0 -4.0
5.0 -4.0
5.0 -5.0
6.0 -5.0
6.0 -6.0
7.0 -6.0
7.0 -7.0
8.0 -7.0
8.0 -8.0
9.0 -8.0
9.0 -9.0
10.0 -9.0
10.0 -10.0
10.5831 -10.0
# Process.x #6
0.0 0.0
0.0 0.0
1.0 0.0
1.0 1.0
2.0 1.0
2.0 2.0
3.0 2.0
3.0 3.0
4.0 3.0
4.0 4.0
5.0 4.0
5.0 5.0
6.0 5.0
6.0 6.0
7.0 6.0
7.0 7.0
8.0 7.0
