#### Simulations (10)
# Process.x #1
0.0 0.0
0.0 0.0
1.0 0.0
1.0 1.0
2.0 1.0
2.0 2.0
3.0 2.0
3.0 3.0
4.0 3.0
4.0 4.0
5.0 4.0
5.0 5.0
6.0 5.0
6.0 6.0
7.0 6.0
7.0 7.0
8.0 7.0
8.0 8.0
9.0 8.0
9.0 9.0
10.0 9.0
10.0031 10.0
10.0031 10.0
11.0 10.0
11.0 9.0
12.0 9.0
12.0 8.0
13.0 8.0
13.0 7.0
14.0 7.0
14.0 6.0
15.0 6.0
15.0 5.0
16.0 5.0
16.0 4.0
17.0 4.0
17.0 3.0
18.0 3.0
18.0 2.0
19.0 2.0
19.0 1.0
20.0 1.0
20.0 0.0
21.0 0.0
21.0 1.0
22.0 1.0
22.0 2.0
23.0 2.0
23.0 3.0
24.0 3.0
24.0 4.0
25.0 4.0
25.0 5.0
26.0 5.0
26.0 6.0
27.0 6.0
27.0 7.0
28.0 7.0
28.0 8.0
29.0 8.0
29.0 9.0
30.0 9.0
30.0 10.0
31.0 10.0
31.0 9.0
32.0 9.0
32.0 8.0
33.0 8.0
33.0 7.0
34.0 7.0
34.0 6.0
35.0 6.0
35.0 5.0
36.0 5.0
36.0 4.0
37.0 4.0
37.0 3.0
38.0 3.0
38.0 2.0
39.0 2.0
39.0 1.0
40.0 1.0
40.0 0.0
41.0 0.0
41.0 1.0
42.0 1.0
42.0 2.0
43.0 2.0
43.0 3.0
44.0 3.0
44.0 4.0
45.0 4.0
45.0 5.0
46.0 5.0
46.0 6.0
47.0 6.0
47.0 7.0
48.0 7.0
48.0 8.0
49.0 8.0
49.0 9.0
50.0 9.0
50.0 10.0
51.0 10.0
51.0 9.0
52.0 9.0
52.0 8.0
53.0 8.0
53.0 7.0
54.0 7.0
54.0 6.0
55.0 6.0
55.0 5.0
56.0 5.0
56.0 4.0
57.0 4.0
57.0 3.0
58.0 3.0
58.0 2.0
59.0 2.0
59.0 1.0
60.0 1.0
60.0 0.0
61.0 0.0
61.0 1.0
62.0 1.0
62.0 2.0
63.0 2.0
63.0 3.0
64.0 3.0
64.0 4.0
65.0 4.0
65.0 5.0
66.0 5.0
66.0 6.0
67.0 6.0
67.0 7.0
68.0 7.0
68.0 8.0
69.0 8.0
69.0 9.0
70.0 9.0
70.0 10.0
71.0 10.0
71.0 9.0
72.0 9.0
72.0 8.0
73.0 8.0
73.0 7.0
74.0 7.0
