#### Simulations (10)
# Process.x #1
0.0 0.0
0.0 0.0
1.0 0.0
1.0 1.0
2.0 1.0
2.0 2.0
3.0 2.0
3.0 3.0
4.0 3.0
4.0 4.0
5.0 4.0
5.0 5.0
6.0 5.0
6.0 6.0
7.0 6.0
7.0 7.0
8.0 7.0
8.0 8.0
9.0 8.0
9.0 9.0
10.0 9.0
10.0 10.0
30.1 10.0
# Process.x #2
0.0 0.0
0.0 0.0
6.0 0.0
6.0 5.0
7.0 5.0
7.0 10.0
8.0 10.0
8.0 15.0
9.0 15.0
9.0 20.0
10.0 20.0
10.0 25.0
11.0 25.0
11.0 30.0
12.0 30.0
12.0 35.0
13.0 35.0
13.0 40.0
14.0 40.0
14.0 45.0
15.0 45.0
15.0 50.0
16.0 50.0
16.0 55.0
17.0 55.0
17.0 60.0
18.0 60.0
18.0 65.0
19.0 65.0
19.0 70.0
20.0 70.0
20.0 75.0
21.0 75.0
21.0 80.0
22.0 80.0
22.0 85.0
23.0 85.0
23.0 90.0
24.0 90.0
24.0 95.0
25.0 95.0
25.0 100.0
26.0 100.0
26.0 105.0
27.0 105.0
27.0 110.0
28.0 110.0
28.0 115.0
29.0 115.0
29.0 120.0
30.0 120.0
30.0 125.0
30.47 125.0
# Process.x #3
0.0 0.0
0.0 0.0
6.0 0.0
6.0 5.0
7.0 5.0
7.0 10.0
8.0 10.0
8.0 15.0
9.0 15.0
9.0 20.0
10.0 20.0
10.0 25.0
11.0 25.0
11.0 30.0
12.0 30.0
12.0 35.0
13.0 35.0
13.0 40.0
14.0 40.0
14.0 45.0
15.0 45.0
15.0 50.0
16.0 50.0
16.0 55.0
17.0 55.0
17.0 60.0
18.0 60.0
18.0 65.0
19.0 65.0
19.0 70.0
20.0 70.0
20.0 75.0
21.0 75.0
21.0 80.0
22.0 80.0
22.0 85.0
23.0 85.0
23.0 90.0
24.0 90.0
24.0 95.0
25.0 95.0
25.0 100.0
26.0 100.0
26.0 105.0
27.0 105.0
27.0 110.0
28.0 110.0
28.0 115.0
29.0 115.0
29.0 120.0
30.0 120.0
30.0 125.0
30.2973 125.0
# Process.x #4
0.0 0.0
0.0 0.0
6.0 0.0
6.0 5.0
7.0 5.0
7.0 10.0
8.0 10.0
8.0 15.0
9.0 15.0
9.0 20.0
10.0 20.0
10.0 25.0
11.0 25.0
11.0 30.0
12.0 30.0
12.0 35.0
13.0 35.0
13.0 40.0
