#### Simulations (100)
# Process.x #1
0.0 0.0
0.0 0.0
1.0 0.0
1.0 1.0
2.0 1.0
2.0 2.0
3.0 2.0
3.0 3.0
4.0 3.0
4.0 4.0
5.0 4.0
5.0 5.0
6.0 5.0
6.0 6.0
7.0 6.0
7.0 7.0
8.0 7.0
8.0 8.0
9.0 8.0
9.0 9.0
10.0 9.0
10.0 10.0
10.1621 10.0
# Process.x #2
0.0 0.0
0.0 0.0
1.0 0.0
1.0 10.0
2.0 10.0
2.0 20.0
3.0 20.0
3.0 30.0
4.0 30.0
4.0 40.0
5.0 40.0
5.0 50.0
6.0 50.0
6.0 60.0
7.0 60.0
7.0 70.0
8.0 70.0
8.0 80.0
9.0 80.0
9.0 90.0
10.0 90.0
10.0 100.0
10.1433 100.0
# Process.x #3
0.0 0.0
0.0 0.0
1.0 0.0
1.0 10.0
2.0 10.0
2.0 20.0
3.0 20.0
3.0 30.0
4.0 30.0
4.0 40.0
5.0 40.0
5.0 50.0
6.0 50.0
6.0 60.0
7.0 60.0
7.0 70.0
8.0 70.0
8.0 80.0
9.0 80.0
9.0 90.0
10.0 90.0
10.0 100.0
10.3207 100.0
# Process.x #4
0.0 0.0
0.0 0.0
1.0 0.0
1.0 1.0
2.0 1.0
2.0 2.0
3.0 2.0
3.0 3.0
4.0 3.0
4.0 4.0
5.0 4.0
5.0 5.0
6.0 5.0
6.0 6.0
7.0 6.0
7.0 7.0
8.0 7.0
8.0 8.0
9.0 8.0
9.0 9.0
10.0 9.0
10.0 10.0
10.8556 10.0
# Process.x #5
0.0 0.0
0.0 0.0
1.0 0.0
1.0 10.0
2.0 10.0
2.0 20.0
3.0 20.0
3.0 30.0
4.0 30.0
4.0 40.0
5.0 40.0
5.0 50.0
6.0 50.0
6.0 60.0
7.0 60.0
7.0 70.0
8.0 70.0
8.0 80.0
9.0 80.0
9.0 90.0
10.0 90.0
10.0 100.0
10.3733 100.0
# Process.x #6
0.0 0.0
0.0 0.0
1.0 0.0
1.0 10.0
2.0 10.0
2.0 20.0
3.0 20.0
3.0 30.0
4.0 30.0
4.0 40.0
5.0 40.0
5.0 50.0
6.0 50.0
6.0 60.0
7.0 60.0
7.0 70.0
8.0 70.0
8.0 80.0
9.0 80.0
9.0 90.0
10.0 90.0
10.0 100.0
10.5103 100.0
# Process.x #7
0.0 0.0
0.0 0.0
1.0 0.0
1.0 10.0
2.0 10.0
