#### Simulations (3)
# Process.x #1
0.0 0.0
0.0 0.0
1.0 0.0
1.0 5.0
2.0 5.0
2.0 10.0
3.0 10.0
3.0 15.0
4.0 15.0
4.0 20.0
5.0 20.0
5.0 25.0
6.0 25.0
6.0 30.0
7.0 30.0
7.0 35.0
8.0 35.0
8.0 40.0
9.0 40.0
9.0 45.0
10.0 45.0
10.0 50.0
10.6999 50.0
# Process.x #2
0.0 0.0
0.0 0.0
1.0 0.0
1.0 1.0
2.0 1.0
2.0 2.0
3.0 2.0
3.0 3.0
4.0 3.0
4.0 4.0
5.0 4.0
5.0 5.0
6.0 5.0
6.0 6.0
7.0 6.0
7.0 7.0
8.0 7.0
8.0 8.0
9.0 8.0
9.0 9.0
10.0 9.0
10.0 10.0
10.8431 10.0
# Process.x #3
0.0 0.0
0.0 0.0
1.0 0.0
1.0 5.0
2.0 5.0
2.0 10.0
3.0 10.0
3.0 15.0
4.0 15.0
4.0 20.0
5.0 20.0
5.0 25.0
6.0 25.0
6.0 30.0
7.0 30.0
7.0 35.0
8.0 35.0
8.0 40.0
9.0 40.0
9.0 45.0
10.0 45.0
10.0 50.0
10.3218 50.0
